id,name,def,cd,mp_cost
71,Bear Trap,[Stun] a single target for one round.,3,
72,Hunters Mark,Apply [Hunter Mark] on a single target for 3 rounds.,3,
73,Hide,Become invisible for 1 round.,1,
74,Pickpocket,Deal [STR base] physical damage with a chance to receive gold.,1,
75,Execute,"Deal [STR base] physical damage, executing enemies at or below 10% max health. Executing resets cooldown.",8,
76,Fear,"Inflict [Fear], to a single enemy for 3 rounds.",3,2
77,Dread,Inflict [Nightmare Strike] to a single enemy for 2 rounds.,1,1
78,Terror,"Deal [STR base] physical damage, consuming all stacks of [Nightmare Strike].",8,4
79,Fake Out,Summon a [Self Replica].,3,2
80,Laughter,Deal half [DEX base] magic damage to all enemies.,1,1
81,Jack in the Box,Inflic ta random Debuff/Infliction to all enemies.,8,4
82,Melody,Grant a single ally +1 [STR] and +1 [INT].,1,
83,Sound Wave,Grant all allies [Inspire] and enemies [Discourage].,3,2
84,Reverb,Grant a single ally [Double Cast].,7,3
85,Charm,Apply [Charm] to a single enemy for 2 rounds.,2,
86,Submission,Inflict [Complete Submission] on a single target.,1,5
87,Demand,Grant your familiar [Double Cast],6,1
88,String,Inflict [Strung] on a single enemy.,1,1
89,Pull,Deal [CHA base] magic damage to a single enemy. May convert [Strung] to [Stun].,1,4
90,Control,Inflict [Puppeted] to a single enemy for 5 rounds.,7,4
91,High Note,Deal half [CHA base] magic damage to a single enemy.,1,2
92,Minor Note,Grant the party [Remedy] for 3 rounds.,4,6
93,Major Note,Grant the party [Legato] for 3 rounds.,7,9
94,Strike1,Deal [STR base] physical damage to a single enemy.,1,
95,Parry,Grant [Parry].,3,
96,Defend,Grant [Defense] for 1 round.,1,
97,Punch,"Deal [STR base] physical damage, applying [Imbalance] for 1 round.",1,
98,Kick,"Deal [STR base] physical damage, applying [Stun] for 1 round.",3,
99,Guard1,Gain [Defense] for 2 rounds.,3,
100,Bonk,"Deal half [WIS base] physical damage to a single enemy, gaining [Ki].",1,1
101,Meditate,Convert [Ki] to [Regeneration].,1,2
102,Ki Unlock,Convert [Ki] to [Bonk Boost].,1,1
103,Orange,Heal [STR base] and cleanse [Poison].,3,
104,Rally,Grant the party +1 STR and +1 DEX for 3 rounds.,3,
105,Cannon,Summon a [Cannon].,1,
106,Bash,Deal [CON base] physical damage to a single target.,1,
107,Defensive Stance,Grant [Defense] for 2 rounds.,4,
108,Slash1,Deal [STR base] physical damage to a single enemy.,1,
109,Retribution,Deal half [CHA base] Strength damage to a single target.,1,1
110,Redemption,Party gains [Regeneration] for 3 rounds.,3,
111,Divine Smite,Deal [CHA base] holy damage to all enemies.,4,3
112,Command,Grant target ally [Triumph] for 1 round.,1,
113,Plunge,Deal 2x [STR base] physical damage to target enemy.,2,
114,Guard Stance,Party gains [Defense] for 2 rounds.,4,
115,Blade Surge,Deal half [DEX base] physical damage to target enemy.,1,1
116,Sharp Rain,Deal half [DEX base] physical damage to all enemies.,1,2
117,Dancing Blade,Summon a [Floating Blade],1,6
118,Lost Spell,Replenish all party mana by half of [WIS base].,5,
119,Portal,Target ally gains [Warp].,2,3
120,Quotation,Deal [WIS base] magic damage to a single enemy.,1,1
121,Doorbell,Gain [Defense+] for 3 rounds.,3,5
122,Lock,Disable target [Doorway].,1,
123,Unlock,Enable target [Doorway].,1,
124,Window Clean,Target ally gains [Immunity] for 2 rounds.,6,2
125,Spray Cleaner,Target gains [Poison] for 2 rounds.,2,3
126,Sweep,Remove all debuffs and inflictions from target ally.,1,1
127,Notes,Deal [WIS base] psychic damage to a single enemy.,1,2
128,Bird Call,Summon [Bird Familiar].,6,5
129,Passage,Target enemy gains [Passage] for 3 rounds.,3,3
